base_price,discounted_price,product_name,category,brand,description
"1,31",0.89,Tomates concassées - 400 g,Epicerie,La Bio Idea,Les tomates concassées en conserve La Bio Idea seront indispensables pour toutes vos recettes à base de tomates.
"4,43",3.27,Thon albacore au naturel - 112 g,Epicerie,Phare d’Eckmuhl,Thon au naturel pêché à la ligne
"2,17",1.45,Boisson à base de riz - 1 L,Epicerie,Lima,"Il y a plus de 20 ans, Lima lançait la première boisson au riz en Europe, le Rêv'Riz. Aujourd'hui rebaptisé Rice Drink Original, il est toujours LA référence. Il se distingue d'une boisson nature par une très légère touche de vanille qui lui confère sa saveur unique. Le goût naturellement sucré de cette boisson fraîche a conquis toutes les générations à tout moment de la journée."
"3,22",2.08,Logodent Dentifrice à la menthe daily care - 75 ml,Hygiène et beauté,Logona,Ce dentifrice à la menthe bio offre une mousse légère qui nettoie en douceur les dents et des gencives. L'extrait de camomille bio a un effet anti-inflammatoire et soignant.
"2,00",1.32,Passata nature - 690 g,Epicerie,La Bio Idea,La Passata nature est un ingrédient de base qui sera idéale pour élaborer toutes vos recettes de sauce tomate.
"2,44",1.69,Lait d'avoine calcium - 1 L,Epicerie,Lima,"Le Oat Drink Calcium est une boisson végétale savoureuse, produit selon une recette entièrement naturelle. Oat Drink Calcium s’utilise comme boisson chaude ou froide et dans la confection de nombreux plats sucrés ou salés en remplacement du lait."
"2,08",1.49,Lait de riz natural calcium - 1 L,Epicerie,Lima,"Une boissons enrichie qui se prête à toutes les utilisations. 200ml de Rice Drink Calcium procurent 15% des apports journaliers recommandés en calcium, comme ça vous pourriez fournir votre organisme du calcium dès le petit déjeuner. En plus sans sucres ajoutés, sans lactose et sans gluten!"
"1,68",1.15,Fusilli complets - 500 g,Epicerie,Alce Nero,Fusilli complète d'épautre
"3,60",2.85,Chocolat noir dessert 60% - 200 g,Epicerie,Ethiquable,Ce chocolat noir dessert de la marque Ethiquable sera rendre vous faire fondre de gourmandise !
"2,30",1.67,Crème de coco - 25 cl,Epicerie,La Mandorle,"Coco Cuisine s'utilise comme une crème liquide, en simple nappage, en incorporation pour épaissir ou alléger une sauce... Délicate et raffinée, elle s'adapte à toutes vos fantaisies salées et sucrées."
"3,56",2.52,Filets de sardines à l'huile d'olive bio - 100 g,Epicerie,Phare d’Eckmuhl,Filets de sardines à l'huile d'olive vierge extra bio
"8,50",5.10,Charbon binchotan,Tout pour la maison,Black + Blum,"S’il peut paraître étrange de purifier l'eau potable avec un bâtonnet de charbon, cette pratique est connue des Japonais depuis des siècles. Le Binchotan est un charbon actif obtenu à partir de branches d’arbres. Il est connu pour adoucir l’eau, ajouter des minéraux bienfaisants et absorber les goûts et les odeurs indésirables, tels que le chlore."
"1,41",0.91,Tomates pelées - 400 g,Epicerie,La Bio Idea,La tomate pelée est un ingrédient de base pour la préparation de sauces.
"1,45",1.06,Crème cuisine lait de coco - 20 cl,Epicerie,Ecomil,Préparation culinaire au lait de coco
"3,54",2.45,Lait d'amande sans sucre - 1 L,Epicerie,Ecomil,Un lait d'amande désaltérant !
"1,03",0.70,Soja cuisine - 20 cl,Epicerie,Lima,"Alternative végétale à la crème liquide sans lécithine pour une cuisine simple, salée ou sucrée. La pointe de vanille apporte une saveur équilibrée et neutralise le goût du soja."
"11,00",7.60,Miel de ronce - 250g,Epicerie,Des milliers d'abeilles,Le 
"13,50",9.99,Miel d'acacia - 500g,Epicerie,Des milliers d'abeilles,Le 
"13,00",9.24,Miel de fleurs d'Auvergne - 500g,Epicerie,Des milliers d'abeilles,Le 
"14,00",10.13,Miel de montagne - 500g,Epicerie,Des milliers d'abeilles,Le 
"17,50",11.41,Poudre de camu camu - 50 g,Santé,Guayapi,Sa richesse en Vitamine C le place en tête des fruits comestibles les plus tonifiants.
"19,52",14.15,Digestion Bio - 20 ampoules,Santé,Diet Horizon,"Grâce au complexe de plantes et bourgeons et jeunes pousses, retrouver un équilibre digestif."
"8,55",5.68,Fleurs de Bach Bourgeons de Marronnier n°7 - Gouttes - 20 ml,Santé,Biofloral,"Changement positif : vigilance, apprentissage par l'expérience."
"15,70",10.73,"Fard à joues n° 03 magnolia, 6,5 g",Hygiène et beauté,Santé,"Rosé, le fard à joues en poudre No.03 Silky Magnolia façonne le visage et donne un effet bonne mine. Pour un teint naturellement frais."
"11,25",7.97,"Crayon fard à paupières n° 03 bleu, 3,2 g",Hygiène et beauté,Santé,"Facile et pratique à appliquer, le crayon fard à paupières No.03 Bleu est multiusage."
"8,55",5.68,Fleurs de Bach Verveine n°31 - Granules - 10 ml,Santé,Biofloral,"Changement positif : calme, modération, respect des autres."
"18,00",7.32,Jeu de mémoire - 40 Pièces,,Detoa,Jeu de mémoire 40 pièces
"8,55",5.68,Fleurs de Bach Hêtre n°3 - Granules - 10 ml,Santé,Biofloral,"Changement positif : tolérance, acceptation des autres, vision optimiste."
"8,55",5.68,Fleurs de Bach Agrimony n°1 - Granules - 10 ml,Santé,Biofloral,"Changement positif : acceptation de soi, accès aux vrais sentiments."
"5,90",4.10,Trousse Bleue,Bébé et enfant,Artisans du monde,"Trousse bleue en feutrine, idéal pour les petits comme pour les grands !"
"1,20",0.90,Cahier écolier A5 48 pages grands carreaux - rhino,,Ecodis,Cahier écolier A5 48 pages grands careaux - rhinocéros
"6,70",5.02,Thé vert coco citron - 70g,Epicerie,Artisans du monde,"Une odeur et un gout divin, simplement !"
"19,90",12.32,Couche lavable Pea Prune - M,Bébé et enfant,P'tits dessous,La couche hybride Petit Pea coloris gris-prune s'utilise avec un insert réutilisable ou à usage unique (à retrouver 
"19,90",12.32,Couche lavable Pea Blanc - L,Bébé et enfant,P'tits dessous,La couche hybride Petit Pea coloris gris-prune s'utilise avec un insert réutilisable ou à usage unique (à retrouver 
"16,21",11.67,Masque nutrition peau sèche et peaux sensibles - 75 ml,Hygiène et beauté,Coslys,"Grâce à l'association d'eaux florales adoucissantes et d'huiles végétales nourrissantes, le Masque nutrition renforcée Coslys redonne immédiatement souplesse et confort à la peau."
"16,90",9.99,Fluide après soleil - 150 ml,Hygiène et beauté,Laboratoire de Biarritz,Le Fluide Après-soleil certifié bio* hydrate intensément** et apaise les sensations de tiraillement dues à l’exposition.
"10,36",7.13,Ortie racine - 200 gélules,Santé,Nat & Form,La meilleure amie de l'homme grâce à son action sur la prostate.
"14,95",9.07,Lait corps au miel - 150 ml,Hygiène et beauté,Gravier,"Ce lait corporel au miel nourrit et protège la peau, il convient à un usage familial (hormis les bébés)."
"22,20",14.23,Gel silicium organique - 225 ml,Santé,Vitasil,Gel corporel à usage externe pour les articulations.
"34,00",21.22,Crème nutrition intense - 30 ml,Hygiène et beauté,Logona,"Crème nutrition intense aux baies d'argousier bio et à l'acide hyaluronique. Cette crème nutrition intense aux baies d'argousier bio et à l'acide hyaluronique hydrate et stimule les fonctions d'autoréparation de la peau de jour comme de nuit, pour diminuer visiblement les rides."
"3,00",2.16,[offre limitée] Chocolat éclats de spéculoos - 100g,Epicerie,Belledonne,A déguster seul ou accompagné d'un bon café.
"1,60",1.18,Purée pomme dès 6 mois - 100g,Bébé et enfant,Boulette et Gros Lapin,"Petit pot de pomme, à déguster à partir de 6 mois fait avec amour par un maraîcher aveyronnais."
"39,99",30.82,Miel de manuka - 500 g,Epicerie,Comptoirs et compagnies,"Un miel unique, pour une dégustation inoubliable !"
"14,30",9.99,Huile de baobab - 50 ml,Santé,Laboratoire du Haut Ségala,"Très utilisée pour les peaux très sèches et tiraillées, elle est reconnue pour ses propriétés anti-inflammatoire et anti-allergique."
"14,20",11.10,Teinture aux plantes blond doré - 100 g,Hygiène et beauté,Khadi,"Pour un résultat blond avec de légers reflets dorés fugaces et une brillance intense aux cheveux. N'éclaircit pas les cheveux ! S'applique sur cheveux blonds et/ou blancs, elle couvre les cheveux blancs en une seule application."
